event_id,ticker,event_date,announcement_type,firm_size_log,firm_size_source,sector,sector_source,alpha,beta,CAR_short,CAR_long,sector_binary
0001477932-25-006486:btbd_ex991.htm,BTBD,2025-09-03,M&A,15.803107333352289,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),-0.002138520511458306,0.36550230995843114,-0.3780942983324368,-0.371239236645298,Non-Technology
0001968487-26-000015:ws-ex99_2.htm,WS,2026-06-25,R&D,21.330115509288134,Direct gap-fill (yfinance),Basic Materials,Direct gap-fill (yfinance),0.0010190088164682577,1.9118978230631076,-0.12586680288579966,-0.07060837150577899,Non-Technology
0001683168-26-002816:focus_ex9902.htm,FCUV,2026-04-10,R&D,15.913848434027965,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.010754086437572984,3.3839199573156598,-0.37310759243066494,-1.159706479798393,Technology
0001378325-26-000004:cv-20260320xex991.htm,CV,2026-03-20,M&A,19.610839727269198,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.0031195496127547195,1.6423749617842223,0.17377735666154034,-0.10664457875326226,Non-Technology
0001493152-26-004774:ex99-1.htm,AIXC,2026-02-02,partnership,16.41013207942688,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.0015736928982699526,1.3383145311490348,-0.17541134623710214,-0.09219530693719924,Technology
0001609151-26-000035:exhibit991-projectwillowxs.htm,WEAV,2026-03-30,partnership,20.070029961795242,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),-0.003085550293942944,1.7020133531834027,0.055024460519016945,0.0759885677527385,Non-Technology
0001493152-26-007687:ex99-1.htm,GAME,2026-02-23,M&A,17.358225557292684,Direct gap-fill (yfinance),Communication Services,Direct gap-fill (yfinance),-0.011269805325814584,2.9511535596356673,0.23713847796815063,0.3656262782354076,Technology
0001213900-24-040159:ea020533001ex99-1_real.htm,AIRE,2024-05-06,M&A,15.810171278568507,Direct gap-fill (yfinance),Real Estate,Direct gap-fill (yfinance),-0.040916357960450435,2.109755537211277,0.48021166355799916,1.3059501379971579,Non-Technology
0001493152-25-027625:form8-k.htm,AITX,2025-12-15,R&D,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.004956922352289791,1.156414448562866,0.03971472713266998,-0.09313472882929312,Non-Technology
0001477932-26-001599:btbd_ex991.htm,BTBD,2026-03-26,M&A,15.803107333352289,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),-0.0013682596227611696,2.7769860389683476,0.010763997169441184,-0.565030428631466,Non-Technology
0001213900-25-056199:ea024639601ex99-1_datchat.htm,MYSE,2025-06-20,R&D,16.21017032944153,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.02672319333360098,-0.2474234896526013,-0.08084040924738234,-0.9247934563804006,Technology
0001213900-26-005922:ea027347001ex99-1_linkhome.htm,LHAI,2026-01-21,partnership,16.467885879539246,Direct gap-fill (yfinance),Real Estate,Direct gap-fill (yfinance),0.013308314853312096,1.7721576674770383,-0.383344315964893,-0.7974736272661613,Non-Technology
0001493152-25-029636:ex99-1.htm,BFRG,2025-12-30,R&D,16.146743067139944,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),-0.0078025489213543455,2.9390267855620404,-0.038136244113271184,-0.3765335476447437,Non-Technology
0000773840-25-000005:exhibit992-winter.htm,HON,2025-02-06,R&D,25.0674902330441,Index reference (Step 2),Industrials,GICS (S&P 500),0.00035430688229538967,0.6872705274971289,-0.012878752797518276,0.045473528267734424,Non-Technology
0001731122-26-000541:e7541_ex99-1.htm,GTCH,2026-04-07,R&D,14.61382238500093,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.057100203049744405,-2.933644932326936,-0.082960002554657,-0.15012441736063664,Technology
0001654954-24-011449:rekr_ex991.htm,REKR,2024-09-04,R&D,18.26799491071328,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.00667408416378866,2.1494490295667914,0.02170214150134232,0.08357531325339929,Technology
0001493152-26-015646:ex99-1.htm,CISO,2026-04-08,R&D,16.264579040667616,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.007749296712058011,2.0533835103338975,-0.02751957913628348,-0.1655643701975794,Technology
0001193125-25-023641:d929762dex991.htm,REAL,2025-02-10,R&D,21.099437177768163,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),0.008748472436892531,2.5266543845443783,-0.06418082568415254,-0.3315476164289657,Non-Technology
0001213900-26-022014:ea027925301ex99-1.htm,ONDS,2026-03-02,M&A,22.17443246350505,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.016166467219266498,4.589978032561146,-0.02875260019735722,-0.6398688833803909,Technology
0001663577-26-000185:ex99_1.htm,IQST,2026-06-08,M&A,15.762189411490585,Direct gap-fill (yfinance),Communication Services,Direct gap-fill (yfinance),-0.007906247187015604,2.205286444315572,0.0904213269854666,0.43901660668139686,Technology
0001493152-24-014264:ex99-1.htm,AITX,2024-04-11,partnership,14.863435684299153,Direct gap-fill (yfinance),Industrials,Direct gap-fill (yfinance),-0.0022362089040749347,1.353318058014879,0.02658425319670767,1.553973298332935,Non-Technology
0001683168-25-003432:nixxy_ex9901.htm,NIXX,2025-05-12,R&D,16.48875887117528,Direct gap-fill (yfinance),Communication Services,Direct gap-fill (yfinance),0.003101555303570336,1.3695267145932073,-0.08807214362536865,-0.2787081022805493,Technology
0001641172-25-022621:ex99-1.htm,RIME,2025-08-07,M&A,15.586520061312617,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.006165437474507069,-0.5554244612748753,-0.02311048141221715,0.21272257892889132,Technology
0001493152-24-014621:ex99-1.htm,MYSZ,2024-04-15,R&D,14.496305259822714,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),-0.009555737273028102,0.8699908157068036,0.16099501938340055,0.36852783288465246,Non-Technology
0001493152-24-039073:ex99-1.htm,AIOT,2024-10-02,M&A,20.081126610868456,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.0032205724937796353,1.569363169754103,0.06207409415763113,0.15562004862745726,Technology
0001493152-26-033073:ex99-1.htm,WRAP,2026-07-13,M&A,18.44594271637788,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.003471024754205579,2.299248960348589,0.04425545856504149,-0.06217366185119792,Technology
0001140361-25-000113:ef20041017_ex2-1.htm,NUS,2025-01-03,M&A,19.344849673174345,Direct gap-fill (yfinance),Consumer Defensive,Direct gap-fill (yfinance),-0.004157306288801341,0.550356422551974,-0.10600096626117186,0.1345812075783259,Non-Technology
0001758699-25-000019:exhibit99_1.htm,TRSO,2025-07-08,M&A,16.672400101537914,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),0.000675921799302171,0.0030633275155478655,-0.0020446467385906563,-0.5518444396025765,Technology
0001683168-26-000143:nixxy_ex9901.htm,NIXX,2026-01-07,R&D,16.48875887117528,Direct gap-fill (yfinance),Communication Services,Direct gap-fill (yfinance),-0.004306252071480282,1.7476039491244721,-0.11891442751947821,-0.432048636569515,Technology
0000950170-24-080040:awh-ex99_1.htm,AWHL,2024-07-02,M&A,16.611580427559346,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),-9.870864919972206e-05,-0.1641024354375711,0.21278106968360877,0.19121892192090784,Non-Technology
0001641172-25-009278:ex99-1.htm,RIME,2025-05-08,M&A,15.586520061312617,Direct gap-fill (yfinance),Technology,Direct gap-fill (yfinance),-0.018556043984380554,-1.4718143690721002,0.06804845721436034,0.6761010672375503,Technology
0001017386-25-000086:ex994.htm,SCTH,2025-06-24,M&A,19.722679600396813,Direct gap-fill (yfinance),Consumer Cyclical,Direct gap-fill (yfinance),0.027811330464942163,-0.022365142516414804,-0.08313797070603084,-0.8334187007305426,Non-Technology
0001104659-25-118524:tm2532710d1_ex99-2.htm,GRDX,2025-12-04,M&A,16.82929402398672,Direct gap-fill (yfinance),Healthcare,Direct gap-fill (yfinance),0.016814090052527098,-0.6743551391795344,-0.11329943741493356,0.09891505839494263,Non-Technology
